RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
ayifĩm, "comrade/collaborator", V+N, ᐊᔨᕖᒻ, ?
ayikeĩ, "meeting", VV, ᐊᔨᑫᐤ, ?
ayikhĩm{ri}, "company/collaboration", V+N{?}, ᐊᔨᑮᒻ{ᕆ}, ?
ayimit, "assistance, helpful deed", V+N, ᐊᔨᒥᑦ, ?
ayireĩ, "gathering for assistance", VN, ᐊᔨᕂᐤ, ?
baih, "hard, firm", N, ᐸᐃᒃ, ?
bifĩchet, "budget, account", NVN, ᐱᕖᒉᑦ, ?
bilets, "fish", NN, ᐱᓓᒡ, ?
bĩm, "speck/particle", N, ᐲᒻ, ?
bimĩl, rain {?dialectal}, ?, ᐱᒦᓪ, ?
bires, "straight, straight line", NN, ᐱᕂᔅ, ?
biw, "lump, tuber", N, ᐱᔾ, ?
BoPai, "metamorphic rock", NN, ᙮ᐳ᙮ᐸᐃ, ?
cef, "a mess, {a tamed Image of Chaos}", N, ᒉᕝ {chef}, ?沌
chebĩf, "hoof-tip, *sometimes frog {the inner portion of the hoof used with the frog to grasp objects}", NN, ᒉᐲᕝ, ?
CheChol, hoofball, NN, ᙮ᒉ᙮ᒍᓪ, ?
chedh, "rear half of the body", N, ᒉᕪ, ?
CheDoh, "math problem", NN, ᙮ᒉ᙮ᑐᒃ, ?
CheFeĩ, "age / count of autumns", NN, ᙮ᒉ᙮ᕓᐤ, ?
chehiw, "sense of touch", NN, ᒉᑭᔾ, ?
Che{r/l}, leg, N, ᙮ᒉ{ᕐ/ᓪ}, ?
cheres, "street, footpath", ?, ᒉᕃᔅ, ?
cheret, "order / sequence", ?, ᒉᕃᑦ, ?
che{r}laf, "pants, leggings", NN, ᒉ{ᕐ}ᓚᕝ, ?
CheRoun, round/rotation, NN, ᙮ᒉ᙮ᕈᐤᓐ, ?
CheTai, "age / count of solar years {less common / more approriate for Earth}", NN, ᙮ᒉ᙮ᑕᐃ, ?
cherchim, "knees", NN, ᒉᕐᒋᒻ, ?
chif, talon/claw, N, ᒋᕝ, 爪
chı̊f, {rainbow/}colour/arc, N, ᒌᐤᕝ, 虹
chifĩr, "talons {esp. a full hand of talons}", VS+N, ᒋᕖᕐ, ?
chifĩrroh, "minotaur", N, ᒋᕖᕐᕈᒃ, ?
chĩfmol, "coloured ink, coloured paint", NN, ᒌᕝᒧᓪ, ?
chifkeryiw, "monkey", NVN, ᒋᕝᑫᕐᔨᔾ, ?
chĩmol, "coloured paint", NN, ᒌᒧᓪ, ?
chirĩf, "talons {as a manipulating organ}", ?VS+N, ᒋᕇᕝ, ?
chofĩr, "bundle, trunk {of a tree}", VS+N, ᒍᕖᕐ, ?
cholap, "mouth {for picking things up}", VN, ᒍᓚᑉ, ?
Cholm, {hĩrin'rin/?chorı̊ma'rĩm} sphere / ball, N, ᒍᓪ{ᒻ}, ?
cholom, village / gathering place, V+N, ᒍᓗᒻ, 集辺
chom, lump / ball, N, ᒍᒻ, ?
cho{'qu}kap, "'gathering word', compound word", V+N, ᒍ{ᐧᖂ}ᑲᑉ, ?
chorem, flight, VN, ᒍᕂᒻ, ?
choulbĩr, rail, VN, ᒍᐤᓪᐲᕐ, ?
chum, "{PaiRĩmr dialect?} thing / it", N, ᒎᒻ, ?
dakien, "someday / {emphatic, cf takien} this day", AN, ᑕᑭᐁᓐ, ?
dayikien, "some future day", AAN, ᑕᔨᑭᐁᓐ, ?
dheimĩl, "infusion / brew / hot water for tea", NN, ᕞᐤᒦᓪ, ?
dheital, "coffee shop, bar, *apothecary", NN, ᕞᐤᑕᓪ, ?
dheizu, "{mod. Zebrician} potion / 'possibly medicine'", N', ᕞᐤᙀ, ?酒薬
dhipets, "hot / spicy / ache", N, ᕠᐯᒡ, ?
dhipets'amul, "hot sauce", N+N, ᕠᐯᒡᐧᐊᒨᓪ, ?
dohlaaun, "problem, difficult situation", VN, ᑐᒃᓛᐤᓐ, ?
dow, throat, N, ᑐᔾ, ?
eĩchı̊f, "apple-red colour", NN, ᐁᐤᒌᐤᕝ, ?
eidhem / eiden'dhei / ei'dhei, apple cider, NV / NVN / NN, ᐁᐤᕞᒻ / ᐁᐤᑌᓐᐧᕞᐤ / ᐁᐤᕞᐤ, ?
eĩ{lu}fĩr, apple tree, N{V}N, ᐁᐤ{ᓘ}ᕖᕐ, ?
enifĩl, "development", VN, ᐁᓂᕖᓪ, ?
enifĩr, "development / possibilities for develoment", VN, ᐁᓂᕖᕐ, ?
enilĩl, "variation", VA', ᐁᓂᓖᓪ, ?
enim, "expansion / increase", V', ᐁᓂᒻ, ?
enirĩl, "increase, flourishing", VA', ᐁᓂᕇᓪ, ?
enTauRĩam, "depropered {grammar}", PN+NV', ᐁᓐ᙮ᑖ᙮ᕇᐊᒻ, ?
Faĩ, "gem / gemstone", N, ᙮ᕙᐄ, ?
FaĩBit, "gemstone {rough/uncut}", NN, ᙮ᕙᐄ᙮ᐱᑦ, ?
FaĩLaf, "jeweled gown", NN, ᙮ᕙᐄ᙮ᓚᕝ, ?
FaĩMĩr, "clear/empty sky, sky-blue", NN, ᙮ᕙᐄ᙮ᒦᕐ, ?
Faĩ{Rik/Shan}, "?? gemstone {cut}", NN, ᙮ᕙᐄ{᙮ᕆᒃ/᙮ᔕᓐ}, ?
feĩchedh, "flank", NN, ᕓᐤᒉᕪ, ?
feĩchom, "appreciation / awe", NN, ᕓᐤᒍᒻ, ?
Feĩ'hnym, "belle / beauty", N+N, ᙮ᕓᐤᐧᑭᓂᒻ, ?
feĩlam, "garden / park", NN, ᕓᐤᓚᒻ, ?
feĩlar, "mane / hair / manestyle", NN, ᕓᐤᓚᕐ, ?
feĩlash, "braid", NN, ᕓᐤᓚᔥ, ?
feĩliw, "barrel, chest", N, ᕓᐤᓕᔾ, ?
feĩmĩl, "lake {scenic}; lakeside", NN, ᕓᐤᒦᓪ, ?
feĩmit, "good deed", NN, ᕓᐤᒥᑦ, ?
FeĩMĩt, "art / drawing", NN, ᙮ᕓᐤ᙮ᒦᑦ, ?
feĩrem, "{archaic/poetic} fading / passing of time", NN, ᕓᐤᕂᒻ, ?
FeĩRĩm, "music {classical/melancholy}", NN, ᙮ᕓᐤ᙮ᕇᒻ, ?
feĩrĩm, "despectrumed/faded / emotionally tired", VN, ᕓᐄᕇᒻ, ?
feĩsaf, autumn leaves, NN, ᕓᐤᓴᕝ, ?
{feĩ'}sailam, "garden, yard", {N}NN, {ᕓᐤᐧ}ᓴᐃᓚᒻ, ?
feĩsaital, "estate, estate grounds", VNN, ᕓᐤᓴᐃᑕᓪ, ?
feĩsal, "sketchbook / artbook", NN, ᕓᐤᓴᓪ, ?
FeĩShan, "glimmer", ?, ᙮ᕓᐤ᙮ᔕᓐ, ?
FeĩTaf, studio, NN, ᙮ᕓᐤ᙮ᑕᕝ, ?
FeĩTak, "~hour {of the late afternoon / early evening}", NN, ᙮ᕓᐤ᙮ᑕᒃ, ?
feĩtal, "cottage, mansion", VN, ᕓᐤᑕᓪ, ?
feĩtei, "{archaic/poetic} siblings", VS+N, ᕓᐤᑌᐤ, ?
FeĩYoRĩm, visual art, NVN, ᙮ᕓᐤ᙮ᔪ᙮ᕇᒻ, ?
fetah, "sharp", VN, ᕓᑕᒃ, ?
fetahik, "nail, staple, fastening", VNN, ᕓᑕᑭᒃ, ?
fetchim, "fetlock, *wrist", VN, ᕓᑦᒋᒻ, ?
FetRĩm, "use-name, made-word, {jargon}", VN, ᙮ᕓᑦ᙮ᕇᒻ, ?
fĩc'chon, "library stack / collection of books", N, ᕖᒃᐧᒍᓐ, ?
ficheret, "order / sequence", V+N, ᕕᒉᕃᑦ, ?
fĩchet, account/table/summary, V+N, ᕖᒉᑦ, ?
fĩcres, story, NN, ᕖᒃᕃᔅ, ?
fĩcrĩm, story/narrative, NN, ᕖᒃᕇᒻ, ?
fĩcshi'hnym, "author, novelist", NV+N, ᕖᒃᔑᐧᑭᓂᒻ, ?
fĩctel, "collection of books / reference manual", NN, ᕖᒃᑌᓪ, ?
fĩctelam, "library", NNN, ᕖᒃᑌᓚᒻ, ?
fĩctel'hnym, "librarian", NN+N, ᕖᒃᑌᓪᐧᑭᓂᒻ, ?
fĩfeĩrĩm, "sadness, melancholy", VAN, ᕖᕓᐤᕇᒻ, ?
fĩilnim, "??baby pet / baby sibling {usage varies}", V+PN+N, ᕖᐃᓪᓂᒻ, ?
fĩlunim, pet, VVN, ᕖᓘᓂᒻ, ?
fĩmfĩc, friendship letter, N, ᕖᒻᕖᒃ, ?
FĩmSo, "love between friends", NN, ᙮ᕖᒻ᙮ᓱ, ?
{Fĩn/Fı̊n}, "electric charge / adhesion / cloudwalking / chorı̊ma magic", N, ᙮ᕖ{ᐤ}ᓐ, ?
finlah, "pocket / pouch / flap on saddlebag", VN, ᕕᓐᓚᒃ, ?
fı̊nlĩr, thundercloud, NN, ᕖᐤᓐᓕᕐ, ?
finoh, "saddlebag, small bag", NN, ᕕᓄᒃ, ?
fĩrem, "? path / course of action", {N}N, ᕖᕃᒻ, ?
fĩres, "story", {N}N, ᕖᕂᔅ, ?
fĩrkirm, "antlers e.g. as on a deer", NN, ᕖᕐᑭᕐᒻ, ?
fĩrlaaun, "splay of time/possibility", NN, ᕖᕐᓛᐤᓐ, ?
FĩrrhCyl, traditional 12 characters of KinSyl, Nc+N, ᙮ᕖᕐ᙮ᓯᓪ, ?
fĩrsaf, leaf {on a tree}, NN, ᕖᕐᓴᕝ, ?
fĩrsal, "leaf, index in a book", NN, ᕖᕐᓴᓪ, ?
FĩrTeiNim, "branching TeiNim {characteristic of hĩrin}", NNN, ᙮ᕖᕐ᙮ᑌᐤ᙮ᓂᒻ, ?
fitah, "sharp", VN, ᕕᑕᒃ, ?
Fı̊ts, "lightning / electricity", N, ᙮ᕖᐤᒡ, ?
fı̊tslash/fĩtslash, electric wire, NN, ᕖᐤᒡᓚᔥ, ?
Fı̊tsYau, "lightning, lightning strike", NN, ᙮ᕖᐤᒡ᙮ᔮ, ?
Fiw, "root of a situation, precedent", N, ᙮ᕕᔾ, ?
fosh {/hoss/hosh}, "primitive, {horse}", N, ᕗᔥ, ?
hai, "hay", N, ᑲᐃ, ?
haipĩf, "hayseed", NN, ᑲᐃᐲᕝ, ?
haĩtal, "barn", NN, ᑲᐄᑕᓪ, ?
haĩ'talam, "barn", NNN, ᑲᐄᐧᑕᓚᒻ, ?
hefĩm, proper friendship, A+N, ᑫᕖᒻ, ?
hefĩ'keref, hippogriff, AV+N, ᑫᕖᐧᑫᕂᕝ, ?
hekoref, griffon {emphasizing sensibility}, ?, ᑫᑯᕂᕝ, ?
hekorĩm, "lore, knowledge", V+N, ᑫᑯᕇᒻ, ?
hekorin, "science, knowledge", V+N, ᑫᑯᕆᓐ, 学理
hekoyim, "student, aspirant, researcher", V+V', ᑫᑯᔨᒻ, ?
hendhei'tal, "apothecary, pharmacy, potion shop, health food store", VN+N, ᑫᓐᕞᐤᐧᑕᓪ, ?
hendoh'hnym, "healer", VV+N, ᑫᓐᑐᒃᐧᑭᓂᒻ, ?
hendo'lam, "hospital", VV+N, ᑫᓐᑐᐧᓚᒻ, ?
hendo'Mĩf, "healing magic", VV+N, ᑫᓐᑐᐧ᙮ᒦᕝ, ?
hĩkhan, "herd, society", VN, ᑮᑲᓐ, ?
hĩmar, "lord, king", VN, ᑮᒪᕐ, ?
hĩmĩn, "princess, queen (non-alicorn)", VN, ᑮᒦᓐ, ?
hĩqĩrm, "alicorn (substance)", VN, ᑮᖀᕐ{ᒻ}, ?
hĩres, "mainstream, accepted way", VN, ᑮᕂᔅ, ?
hĩr'{hnym/nim}, "steward / manager", V+N, ᑮᕐᐧ{ᑭᓂᒻ/ᓂᒻ}, ?
hĩroul, "cart, small cart", VN, ᑮᕈᐤᓪ, ?
HĩrShi, hĩrin glyphs, NN, ᙮ᑮᕐ᙮ᔑ, 測字
hĩrtef, "morally upright / careful conduct", NN, ᑮᕐᑌᕝ, ?
hisai, "clover", AN, ᑭᓴᐃ, ?
hitTauRĩam, "mid-propered {grammar}", ANV', ᑭᑦ᙮ᑖ᙮ᕇᐊᒻ, ?
hĩyular, "plan", VVN, ᑮᔫᓚᕐ, ?
HonDah, "timeline drift, coming to attention in a situation different than expected/remembered", VV, ᙮ᑯᓐ᙮ᑕᒃ, ?
hopam, "cookie", VN, ᑯᐸᒻ, ?
hundo'lam, "clinic", VV+N, ᑰᓐᑐᐧᓚᒻ, ?
i{h}fĩ'hnym, "donkey", Nc+V+N, ᐃ{ᒃ}ᕖᐧᑭᓂᒻ, ?
ilar, "soft coat / undercoat / fuzz", AN, ᐃᓚᕐ, ?
ilash, wire, AN, ᐃᓚᔥ, ?
ilef, short, AN, ᐃᓓᕝ, ?
ilbĩm, "smallest/atomic part", AN, ᐃᓪᐲᒻ, ?
ilfeĩmar, younger brother, PN+VN, ᐃᓪᕓᐤᒪᕐ, ?
ilfeĩmĩn, younger sister, PN+VN, ᐃᓪᕓᐤᒦᓐ, ?
ilfĩ{lu}nim, pet, PN+V{V}N, ᐃᓪᕖᓘᓂᒻ, ?
ilfinoh, "purse, small bag", AVN, ᐃᓪᕕᓄᒃ, ?
ilfĩm, "small friend {term of address from fully-grown hı̊quae to ordinary hnym}", A+N, ᐃᓪᕖᒻ, ?
ilfĩr, shrub, A+N, ᐃᓪᕖᕐ, ?
ilmar, "colt", A+N, ᐃᓪᒪᕐ, 少男
ilmĩn, "filly", A+N, ᐃᓪᒥᓐ, 少女
ilmĩnbĩz, "ladybug", A+NN, ᐃᓪᒦᓐᐲᔅ, ?
ilnim, "baby, infant", A+N, ᐃᓪᓂᒻ, ?
ilnim'Reĩ, "baby shower, infant presentation", AN+N, ᐃᓪᓂᒻᐧ᙮ᕃᐤ, ?
ilruĩ, "baby/juvenile dragon", AN, ᐃᓪᕉᐄ, ?
iltau'qukap, "mid-propered noun {grammar}", AA+N, ᐃᓪᑖᐧᖂᑲᑉ, ?
i'norim, "plain 'i'", .+N, ᐃᐧᓄᕆᒻ, ?
ĩ'fĩt, "wafty/shimmering 'ĩ'", .+V, ᐄᐧᕖᑦ, ?
ı̊'lı̊r, "cloudy/chorı̊ma 'ı̊'", .+N, ᐄᐤᐧᓖᐤᕐ, ?
iw'Pau, "thunder", N+N, ᐃᔾᐧ᙮ᐸᐆ, ?
iwrĩm, "sound", NN, ᐃᔾᐧᕇᒻ, ?
kaf, part/chapter, N, ᑲᕝ, {分/章}
kafmir, "space between words", NN, ᑲᕝᒥᕐ, ?
kalap, "mouth {for eating}", VN, ᑲᓚᑉ, ?
kap, piece/slice, N, ᑲᑉ, {分/?}
kapik, cupcake/morsel, N, ᑲᐱᒃ, ?
kehrĩm, "stilted/awkward vibe", VN, ᑫᒃᕇᒻ, ?
{kei/kheĩ}tal, "cafe, meeting spot", VN, ᑫᐤᑕᓪ, ?
KeiPai, "igneous rock", VN, ᙮ᑫᐤ᙮ᐸᐃ, ?
Kel, "gold, copper, brass", N, ᙮ᑫᓪ, ?
keref/Gref, griff/griffon, N, ᑫᕂᕝ, ?
kien, present time / now, N, ᑭᐁᓐ, ?
kienreĩ, "daybreak / fresh beginning / reformation", N+N, ᑭᐁᓐᕃᐤ, ?
KinSyl, aultum syllabary, N, ᙮ᑭᓐ᙮ᓯᓪ, ?
Kiw, "root, root of a situation", N, ᙮ᑭᔾ, ?
korĩt, "mistake, fault", AN, ᑲᕇᑦ, ?
KorLaaun, "wrong, wrong situation", N+PN, ᙮ᑯᕐ᙮ᓛᐤᓐ, ?
KorTar, {Tartarus}, N+N, ᙮ᑯᕐ᙮ᑕᕐ, ?乱獄
laauf, long, A, ᓛᐤᕝ, ?
laaum, {near} domain/land, A+., ᓛᐤᒻ, ?
Laaum'TakRoun, "town/city clock", PN+NN, ᙮ᓛᐤᒻᐧ᙮ᑕᒃ᙮ᕈᐤᓐ, ?
LaaunTaf, "calendar, timekeeping scheme", PN+V, ᙮ᓛᐤᓐ᙮ᑕᕝ, ?
laau{n}tak, "schedule, division of labour, property boundary, local time", PN+V, ᓛᐤ{ᓐ}ᐧᑕᒃ, ?
laaufĩr, "other land / branch of time", PN+N, ᓛᐤᕖᕐ, ?
laau'fĩres, "story from other lands / branches of time", PN+N, ᓛᐤᐧᕖᕂᔅ, ?
laaunih, "patience", PN+V, ᓛᐤᓂᒃ, ?
laauraau'{qu}bĩm, "extraversal vocabulary {cf chorı̊ma}, foreign loanword", AA+{V}N, ᓛᐤᕌᐤᐧ{ᖂ}ᐲᒻ, ?
laau'raaum, other world, A+N, ᓛᐤᐧᕌᐤᒻ, ?
laauyorĩm, map, A+VN, ᓛᐤᔪᕇᒻ, ?
laf, "cloth/clothing", N, ᓚᕝ, ?
lahsaf, "curtain", NN, ᓚᒃᓴᕝ, ?
laĩdhei, "punch {beverage}", VN, ᓚᐄᕞᐤ, ?
LanPĩf, "~second/moment", NN, ᙮ᓚᓐ᙮ᐲᕝ, ?
lap, "mouth", N, ᓚᑉ, ?
lar, "coat/fur/hair", N, ᓚᕐ, ?
larhih, "skin", NN, ᓚᕐᑭᒃ, ?
larĩt'hnym, "carefree/fun-loving hnym", VV'+N, ᓚᕇᑦᐧᑭᓂᒻ, ?
larozh, beard, N+A, ᓚᕐᐅᔥ, ?
lashĩf, fluffy tail, N, ᓚᔒᕝ, ?
LaunBĩm, "~minute", NN, ᙮ᓛᓐ᙮ᐲᒻ, ?
LaunTak, "~hour, portion of a schedule", NN, ᙮ᓛᓐ᙮ᑕᒃ, ?
LaunTakRoun, "clockface", NN, ᙮ᓛᓐ᙮ᑕᒃ᙮ᕈᐤᓐ, ?
leĩchı̊f, "light-green, growing-green colour", V+N, ᓓᐤᒌᐤᕝ, ?
leĩf, "lift, flight, hovering", V', ᓓᐤᕝ, ?
leĩfim, "equation, equality", V+N, ᓓᐤᕕᒻ, ?
leĩfĩmar, "?? equal/twin brother", VVN, ᓓᐤᕖᒪᕐ, ?
leĩfĩmĩn, "?? equal/twin sister", VVN, ᓓᐤᕖᒦᓐ, ?
leĩfĩr, "sapling / seedling", VN, ᓓᐤᕖᕐ, ?
Leĩlaaum, "land/region where one was raised", VN, ᙮ᓓᐤᓛᐤᒻ, ?
leĩmar, husband, VN, ᓓᐤᒪᕐ, ?
leĩmĩn, wife, VN, ᓓᐤᒦᓐ, ?
leĩmit, "supportive action", V+N, ᓓᐤᒥᑦ, ?
leĩmirĩt, "vote of confidence, voice of support", VVN, ᓓᐤᒥᕇᑦ, ?
leĩpĩf, pollen, VN, ᓓᐤᐲᕝ, ?
leĩrĩm, "confidence, lighthearted determination", VN, ᓓᐤᕇᒻ, ?
leĩt, "favour/reward", V+N, ᓓᐤᑦ, ?
Lĩf, wind, N, ᙮ᓖᕝ, ?
lifeĩ, marriage {poetic}, VS+VS, ᓕᕓᐤ, ?朋?
lĩfĩ'hnym, "relative, family relation", VV+N, ᓖᕖᐧᑭᓂᒻ, ?
lĩfim, "balance, relation of concepts, ?equivalence", VS+N, ᓖᕕᒻ, ?
lĩfĩ'ilnim, baby sibling, VV+PN+N, ᓖᕖᐧᐃᓪᓂᒻ, ?
Lim, ice / stasis / stagnation, N, ᙮ᓕᒻ, ?
Lĩmĩl, rain {in the sky}, N'N, ᙮ᓖᒦᓪ, ?
lĩqubĩm, "linked morphemes {grammar, e.g. fĩr+rem=fĩrem, Ther+Rĩm=TheRĩm}", VVN, ᓖᖂᐲᒻ, ?
Lĩr, cloud / vapour, N, ᙮ᓕᕐ, ?
lĩrchoul, "skychariot, aircraft, *airship", NN, ᓖᕐᒍᐤᓪ, ?
lirĩm, family/lineage {poetic}, VS+N, ᓕᕇᒻ, 朋唱
LĩrMĩr, "cloudscape, moderately cloudy sky", NN, ᙮ᓖᕐ᙮ᒦᕐ, ?
Lı̊rTeiNim, "cloudy/diffuse TeiNim {characteristic of chorı̊ma}", NNN, ᙮ᓖᐤᕐ᙮ᑌᐤ᙮ᓂᒻ, ?
lis'fĩc, "book for reading, novel", V+N, ᓕᔅᐧᕖᒃ, ?
lisham, "connection", VN, ᓕᔕᒻ, ?
LĩShi, "linked HĩrShi", V+N, ᙮ᓖ᙮ᔑ, ?
lisu, new thing / news, ?, ᓕᓲ, ?
lisuchon, newsstand, ?, ᓕᓲᒍᓐ, ?
lisufĩc, "serial, newly released book, ?? news article", ?, ᓕᓲᕖᒃ, ?
lisusa{f/l}, newspaper / newsprint, NN, ᓕᓲᓴ{ᕝ/ᓪ}, ?
lit, left, N, ᓕᑦ, ?
lom, place, N, ᓗᒻ, 辺
Lor, mountain/peak, N, ᙮ᓗᕐ, ?
Lorm, castle/stronghold, N, ᙮ᓗᕐᒻ, 城
LoTah, "~hour {of the evening/night}", NN, ᙮ᓗ᙮ᑕᒃ, ?
LoTar, lunar imprisonment, NN, ᙮ᓗ᙮ᑕᕐ, ?
{lo/lu}yan, "south {direction}", NN, {ᓗ/ᓘ}ᔭᓐ, ?
luchı̊f, "life-green, plant-green colour", V+N, ᓘᒌᐤᕝ, ?
lufĩr, tree (plant), N, ᓘᕖᕐ, ?
lufĩrkiw, "tree root", VNN, ᓘᕖᕐᑭᔾ, ?
LuLaau'fĩc, "made-up story, implausible / dreamlike fantasy", VN, ᙮ᓖ᙮ᓛᐤᐧᕖᒃ, ?
